year,category,spending_millions
2015,Cafés & restaurants,5400
2015,Takeaway coffee,1200
2015,Beans & ground coffee,700
2015,Pods & capsules,520
2015,Instant coffee,430
2016,Cafés & restaurants,5660
2016,Takeaway coffee,1340
2016,Beans & ground coffee,755
2016,Pods & capsules,615
2016,Instant coffee,450
2017,Cafés & restaurants,5920
2017,Takeaway coffee,1480
2017,Beans & ground coffee,810
2017,Pods & capsules,710
2017,Instant coffee,470
2018,Cafés & restaurants,6180
2018,Takeaway coffee,1620
2018,Beans & ground coffee,865
2018,Pods & capsules,805
2018,Instant coffee,490
2019,Cafés & restaurants,6440
2019,Takeaway coffee,1760
2019,Beans & ground coffee,920
2019,Pods & capsules,900
2019,Instant coffee,510
2020,Cafés & restaurants,6700
2020,Takeaway coffee,1900
2020,Beans & ground coffee,975
2020,Pods & capsules,995
2020,Instant coffee,530
2021,Cafés & restaurants,7560
2021,Takeaway coffee,2340
2021,Beans & ground coffee,1030
2021,Pods & capsules,1510
2021,Instant coffee,550
2022,Cafés & restaurants,7820
2022,Takeaway coffee,2480
2022,Beans & ground coffee,1085
2022,Pods & capsules,1605
2022,Instant coffee,570
2023,Cafés & restaurants,8080
2023,Takeaway coffee,2620
2023,Beans & ground coffee,1140
2023,Pods & capsules,1700
2023,Instant coffee,590
2024,Cafés & restaurants,8340
2024,Takeaway coffee,2760
2024,Beans & ground coffee,1195
2024,Pods & capsules,1795
2024,Instant coffee,610
2025,Cafés & restaurants,8600
2025,Takeaway coffee,2900
2025,Beans & ground coffee,1250
2025,Pods & capsules,1890
2025,Instant coffee,630
