state,year,consumption_index
NSW,2015,49.3
NSW,2016,51.4
NSW,2017,53.5
NSW,2018,55.6
NSW,2019,57.7
NSW,2020,59.8
NSW,2021,61.9
NSW,2022,64.0
NSW,2023,66.1
NSW,2024,68.2
NSW,2025,70.3
VIC,2015,57.3
VIC,2016,59.4
VIC,2017,61.5
VIC,2018,63.6
VIC,2019,65.7
VIC,2020,67.8
VIC,2021,69.9
VIC,2022,72.0
VIC,2023,74.1
VIC,2024,76.2
VIC,2025,78.3
QLD,2015,53.5
QLD,2016,55.6
QLD,2017,57.7
QLD,2018,59.8
QLD,2019,61.9
QLD,2020,64.0
QLD,2021,66.1
QLD,2022,68.2
QLD,2023,70.3
QLD,2024,72.4
QLD,2025,74.5
SA,2015,63.5
SA,2016,65.6
SA,2017,67.7
SA,2018,69.8
SA,2019,71.9
SA,2020,74.0
SA,2021,76.1
SA,2022,78.2
SA,2023,80.3
SA,2024,82.4
SA,2025,84.5
WA,2015,54.7
WA,2016,56.8
WA,2017,58.9
WA,2018,61.0
WA,2019,63.1
WA,2020,65.2
WA,2021,67.3
WA,2022,69.4
WA,2023,71.5
WA,2024,73.6
WA,2025,75.7
TAS,2015,78.4
TAS,2016,80.5
TAS,2017,82.6
TAS,2018,84.7
TAS,2019,86.8
TAS,2020,88.9
TAS,2021,91.0
TAS,2022,93.1
TAS,2023,95.2
TAS,2024,97.3
TAS,2025,99.4
NT,2015,52.6
NT,2016,54.7
NT,2017,56.8
NT,2018,58.9
NT,2019,61.0
NT,2020,63.1
NT,2021,65.2
NT,2022,67.3
NT,2023,69.4
NT,2024,71.5
NT,2025,73.6
ACT,2015,77.2
ACT,2016,79.3
ACT,2017,81.4
ACT,2018,83.5
ACT,2019,85.6
ACT,2020,87.7
ACT,2021,89.8
ACT,2022,91.9
ACT,2023,94.0
ACT,2024,96.1
ACT,2025,98.2
